Gene Symbol,log2 fold-change Start vs. end ,pseudotime 0, pseudotime 1 on SC-beta branch,pseudotime 1 on SC-EC branch,log2 fold-change SC-beta vs. SC-EC,log likelihood of GLM model with pseudotime and branching,"log likelihood of GLM model with pseudotime, but no branching",log likelihood of GLM model without pseudotime or branching,(Pseudotime vs. Reduced) FDR corrected q-value from likelihood ratio test,(Branched vs. Pseudotime) FDR corrected q-value from likelihood ratio test
C19orf38,0,0.1,0.1,0.1,0,-176.5913738,-170.9706775,-176.5913738,0.053127846,0.083525006
GTF2H1,0.28001937,0.437279288,0.38219515,0.493598677,0.367969374,-10814.39157,-10808.77167,-10814.39157,0.004370348,0.083562033
SEMA6B,-0.533426599,0.183798225,0.1,0.165256784,0.594770953,-3766.634934,-3761.015876,-3766.634934,3.99754E-09,0.083602483
CD300A,0.058783342,0.1,0.1,0.218738808,0.941744887,-1498.155963,-1492.537689,-1498.155963,4.79783E-16,0.083638883
AKAP5,0,0.1,0.1,0.1,0,-245.4540193,-239.8361188,-245.4540193,0.000570029,0.083645986
MFAP3,0,0.1,0.1,0.1,0,-798.623809,-793.0062123,-798.623809,0.52820969,0.0836482
DRD2,0,0.1,0.1,0.1,0,-1764.131737,-1758.514775,-1764.131737,1.41518E-90,0.083654543
TBC1D2,0.772672218,0.1,0.157355508,0.230020628,0.426066385,-4957.630478,-4952.013288,-4957.630478,2.7727E-98,0.083654543
IFI16,0,0.1,0.1,0.1,0,-305.4829644,-299.8673038,-305.4829644,0.083523538,0.083727669
TNNC2,0,0.1,0.1,0.1,0,-110.9809926,-105.3669314,-110.9809926,0.286228917,0.083822039
RNU1-16P,0,0.1,0.1,0.1,0,-1574.333442,-1568.719892,-1574.333442,0.000366146,0.083828912
SEPT2,-0.603214914,6.263876183,4.204945593,3.848278044,-0.131692672,-45402.50984,-45396.89642,-45402.50984,2.37034E-41,0.083828912
SGPP1,1.036456184,0.1,0.195802866,0.196454481,-0.032588021,-4485.456104,-4479.845758,-4485.456104,2.59178E-39,0.084028537
DRICH1,-1.507834345,0.524125586,0.1,0.1,0,-803.0053,-797.3962088,-803.0053,6.50762E-27,0.084098611
ARHGAP39,-0.918540847,0.263933225,0.113734514,0.104383427,-0.139311738,-5502.316103,-5496.70731,-5502.316103,0.004272098,0.08410051
SLC38A4,-0.003707693,0.129249447,0.1,0.1,0,-1214.641375,-1209.035494,-1214.641375,0.00010196,0.084289135
NCAM2,0,0.1,0.1,0.1,0,-512.9154948,-507.310297,-512.9154948,4.78302E-09,0.084318517
RRS1,-0.492636422,0.155569571,0.1,0.113767676,0.155253902,-5225.551432,-5219.947621,-5225.551432,2.48604E-21,0.084398276
ERICH5,-2.358402112,0.985533262,0.1,0.209356022,1.036689511,-8573.631706,-8568.029871,-8573.631706,3.84669E-41,0.084520441
MIR137HG,0,0.1,0.1,0.1,0,-414.3165393,-408.715852,-414.3165393,0.000558684,0.084583299
MAP3K5,0,0.1,0.1,0.1,0,-429.7632393,-424.1633415,-429.7632393,0.011088899,0.084620464
ZYX,-0.736800805,1.27590632,0.591740709,0.779672794,0.411676156,-21649.91261,-21644.31352,-21649.91261,1.94124E-12,0.084658825
LTA4H,-0.687176816,2.070710934,1.251821754,1.524733587,0.274797576,-30250.99473,-30245.39635,-30250.99473,4.5196E-43,0.08469072
XIRP2,0,0.1,0.1,0.1,0,-158.773743,-153.1793027,-158.773743,0.50326044,0.084934845
EYA3,-0.336880623,0.453561346,0.343548868,0.31337758,-0.171328321,-9809.496278,-9803.901764,-9809.496278,1.13471E-05,0.084934845
EMSY,0.198590801,0.241461759,0.296470592,0.241460974,-0.282363208,-7908.729442,-7903.136557,-7908.729442,4.49785E-13,0.085027393
SLC30A6,-0.209694959,0.340587932,0.350040595,0.212292384,-0.71363201,-7677.554407,-7671.96234,-7677.554407,0.000290575,0.085066825
SP1,-0.405393534,0.923481595,0.879866345,0.644102889,-0.438396005,-15957.50626,-15951.91463,-15957.50626,0.00058369,0.085078949
ACAP3,2.824329435,0.169341075,1.142173424,1.340410696,0.221898,-15521.74807,-15516.15794,-15521.74807,2.2338E-100,0.085167872
PTGER2,0.281161047,0.1,0.1,0.153781641,0.736093252,-3762.147632,-3756.559691,-3762.147632,9.808E-164,0.085286542
DBH,0,0.1,0.1,0.1,0,-267.1225782,-261.5345166,-267.1225782,4.52502E-07,0.085286542
MARS,0.880846752,0.684396882,1.340158103,1.091122041,-0.242042814,-23638.17413,-23632.59037,-23638.17413,4.16712E-43,0.085569856
EIF4E2,-0.086038574,0.738916563,0.549676017,0.757914387,0.455000219,-15589.28882,-15583.70566,-15589.28882,0.854544194,0.08559371
NUP160,-0.431594924,0.492942972,0.570991522,0.289131155,-0.932262299,-11142.18118,-11136.59836,-11142.18118,1.546E-32,0.08559371
FAM160A2,-0.036017718,0.380944211,0.258309043,0.52772005,0.948167728,-9332.776565,-9327.193947,-9332.776565,0.071993518,0.08559371
SLC38A3,2.17132497,0.137665833,0.609111456,0.946698952,0.574433135,-13068.00313,-13062.42341,-13068.00313,1.64841E-40,0.085783925
H1FX,0.787297734,2.447666256,4.05110113,4.694221507,0.204111226,-42116.63853,-42111.06142,-42116.63853,2.23494E-43,0.085954702
KCNT2,0.540579097,0.1,0.213825722,0.12104155,-0.811231566,-4534.19962,-4528.622822,-4534.19962,5.49984E-06,0.085957929
KATNBL1,-0.353427929,0.472655335,0.308184041,0.467774653,0.552787797,-11287.95808,-11282.38232,-11287.95808,0.15588397,0.085975212
ZNF292,0.104702294,0.747583088,0.940643517,0.760868178,-0.324259457,-17858.08266,-17852.50666,-17858.08266,7.45506E-06,0.085975212
RPUSD3,-0.746625059,0.839551478,0.336256792,0.426882276,0.366273514,-10466.47033,-10460.89485,-10466.47033,1.12199E-08,0.085975212
PRDM4,0.980776059,0.328715864,0.623565776,0.481835608,-0.363116457,-10714.88499,-10709.30927,-10714.88499,3.16318E-14,0.085975212
CENPK,-0.987145008,0.311063448,0.1,0.1,0,-2595.22085,-2589.647882,-2595.22085,2.01082E-22,0.086138635
TFR2,0,0.1,0.1,0.100969396,0,-147.7329302,-142.1608408,-147.7329302,0.06634921,0.086183001
NEDD4,-0.395422126,0.251727962,0.1,0.1,0,-631.9873952,-626.4166203,-631.9873952,2.1149E-11,0.08625932
KCNK12,0,0.1,0.1,0.1,0,-469.0141983,-463.4448007,-469.0141983,6.47193E-08,0.086340298
HLA-DRB1,0,0.1,0.1,0.1,0,-617.5587425,-611.9907367,-617.5587425,5.514E-09,0.086419169
PHOX2B,0,0.1,0.1,0.1,0,-1446.005675,-1440.438165,-1446.005675,3.4365E-81,0.086419169
OR2C3,0,0.1,0.1,0.1,0,-227.8290248,-222.2612667,-227.8290248,0.599841388,0.086419169
PTPN5,-0.293388293,0.147572563,0.1,0.1,0,-1899.658691,-1894.093027,-1899.658691,4.66073E-13,0.08653463
TMBIM6,0.194177359,7.624831252,9.367600012,7.730176608,-0.267289326,-50889.82068,-50884.25562,-50889.82068,4.1497E-127,0.086539596
LAMB2,-1.010942735,0.345713533,0.200034717,0.134490844,-0.61253324,-4123.653799,-4118.088541,-4123.653799,4.7672E-18,0.086539596
PAQR5,-1.181516,0.242833862,0.1,0.1,0,-1359.169347,-1353.605619,-1359.169347,1.55378E-37,0.086617244
GATA5,0,0.1,0.1,0.1,0,-305.4324043,-299.8692772,-305.4324043,0.000191043,0.086632742
SMN2,0,0.1,0.1,0.1,0,-397.6810851,-392.1181077,-397.6810851,0.883538635,0.086632742
CHGB,3.95922057,0.1,1.325548051,1.857569313,0.392185138,-13117.05788,-13111.4984,-13117.05788,2.4941E-299,0.086860781
CWF19L2,-0.998072789,0.566752656,0.416690946,0.219801145,-0.831124264,-10939.84187,-10934.28253,-10939.84187,2.95432E-28,0.086860781
DNPEP,0.032808576,0.305629027,0.188536533,0.385979994,0.936137391,-5533.52933,-5527.971592,-5533.52933,5.58257E-17,0.086958596
SLC4A7,0.147426032,0.439265705,0.774593881,0.399584179,-0.901848222,-11805.54241,-11799.98658,-11805.54241,9.85277E-13,0.087079618
HNRNPU,-0.53710577,4.544987966,3.727078329,3.216470888,-0.214365836,-45947.23569,-45941.68108,-45947.23569,2.3852E-129,0.08714908
SLC22A7,0,0.1,0.1,0.1,0,-152.9753897,-147.4221427,-152.9753897,0.000854907,0.087193668
RBM4,0.188395363,3.575831173,4.125707899,4.102354069,0.00631328,-46514.68495,-46509.13124,-46514.68495,1.76897E-43,0.087193668
TMEM60,-0.500254064,0.30087038,0.336446217,0.176650862,-0.890427417,-7243.0519,-7237.498695,-7243.0519,0.000478921,0.087193668
HEY1,-5.336973436,6.864307327,0.1,0.1,0,-6669.300986,-6663.748383,-6669.300986,2.4941E-299,0.087218249
CKMT2,0,0.1,0.1,0.1,0,-622.8397596,-617.2879805,-622.8397596,0.239861624,0.087259208
COL6A1,-0.508361168,2.177658683,1.290448692,1.384979129,0.062065433,-21846.79888,-21841.24864,-21846.79888,2.31319E-28,0.087353378
TM2D3,-0.021595997,0.817177311,0.671179303,0.514877058,-0.336733818,-11941.94253,-11936.39268,-11941.94253,2.96597E-18,0.087362176
LRRD1,0,0.1,0.1,0.1,0,-326.0171708,-320.4676009,-326.0171708,0.941203991,0.087362888
UBXN8,0.806461322,0.1,0.111686009,0.23567789,0.97881625,-3944.168789,-3938.620197,-3944.168789,6.66731E-08,0.087415375
PPP1R3D,0,0.1,0.1,0.1,0,-2609.347921,-2603.803298,-2609.347921,0.002851683,0.087689798
RNF186,0.0316557,0.1,0.1,0.174480936,0.421917509,-617.2600582,-611.7162398,-617.2600582,4.9836E-08,0.087729602
SPEF2,0,0.1,0.1,0.1,0,-3961.627958,-3956.085169,-3961.627958,2.26558E-27,0.087760024
ASB3,-0.6526605,0.314872464,0.185509284,0.23925401,0.258733569,-7654.716366,-7649.173377,-7654.716366,7.07877E-15,0.087760024
NUDCD1,0.027026235,0.102123595,0.155054833,0.164915349,0.003930175,-6087.050253,-6081.50765,-6087.050253,2.12994E-10,0.087760024
GP2,-2.263073331,0.63020772,0.1,0.1,0,-1426.296264,-1420.755654,-1426.296264,3.93874E-52,0.087888276
STIM1,1.45908487,0.204004203,0.393221883,0.638356523,0.651561438,-8318.08907,-8312.548927,-8318.08907,5.2697E-40,0.087903019
LRRC37A3,0,0.1,0.1,0.1,0,-1927.829668,-1922.29077,-1927.829668,0.033995051,0.087975723
GRB7,-2.114338266,0.994609579,0.171472672,0.207428225,0.174111013,-6259.655166,-6254.117602,-6259.655166,1.27213E-58,0.088055159
FBLN2,0,0.1,0.1,0.1,0,-1205.21338,-1199.676306,-1205.21338,9.24816E-10,0.088071689
PSMB7,-0.81869026,2.0037983,0.89229321,1.220656998,0.431415705,-26445.77761,-26440.24172,-26445.77761,2.51679E-34,0.088140349
SCD,1.081772427,3.026247491,5.82066177,6.040249669,0.061364324,-44723.63561,-44718.10087,-44723.63561,2.4941E-299,0.088205518
GORASP1,-0.087286411,0.221462383,0.232956798,0.275806323,0.203875246,-8478.729808,-8473.19554,-8478.729808,0.336216231,0.08822102
IGFBP4,0,0.1,0.1,0.1,0,-515.3373591,-509.8033787,-515.3373591,0.001849344,0.088222429
UBC,0.335108004,6.718400756,7.626647707,8.341981941,0.11696511,-52635.94181,-52630.41022,-52635.94181,6.55105E-22,0.088381681
CASC3,0.479746726,0.915768594,1.438440807,1.050441374,-0.430069766,-20550.29609,-20544.76589,-20550.29609,8.27678E-08,0.08846521
STARD4,0.851051119,0.429331528,0.637649818,0.776219791,0.251921841,-14444.23925,-14438.70952,-14444.23925,7.52329E-68,0.088480167
F8A2,0,0.1,0.1,0.1,0,-221.5650021,-216.0367358,-221.5650021,0.057080865,0.088569857
SLC37A1,1.500423626,0.428151302,1.212783589,1.010030937,-0.27297853,-15170.72975,-15165.2024,-15170.72975,9.67969E-37,0.088597852
GRIN2B,0,0.1,0.1,0.1,0,-390.8452981,-385.3178595,-390.8452981,4.97025E-15,0.088597852
GCNT4,2.050007888,0.1,0.888545102,0.211359438,-2.054463611,-1893.901469,-1888.37438,-1893.901469,5.00927E-44,0.088597852
ZNF83,-1.262205486,0.190120119,0.1,0.121517238,0.135017966,-3755.304135,-3749.77925,-3755.304135,3.46127E-13,0.088743135
DPM2,0.240166775,0.28659891,0.437259478,0.404896278,-0.129166715,-9646.079196,-9640.55605,-9646.079196,0.634796721,0.088853852
TMEM220,0,0.1,0.1,0.1,0,-1414.686416,-1409.164184,-1414.686416,1.10395E-11,0.088902405
C21orf33,0,0.1,0.1,0.1,0,-166.6837911,-161.1623923,-166.6837911,0.158841276,0.088924817
TRAPPC2L,-0.070371618,0.400535222,0.283551148,0.38943758,0.46193575,-8889.922594,-8884.40109,-8889.922594,0.367511422,0.088924817
HEXB,-1.142921334,0.853510755,0.426775658,0.213379967,-0.978944682,-6346.543346,-6341.023225,-6346.543346,1.53697E-42,0.089000861
JADE1,-1.538496677,0.335964182,0.122008042,0.153156232,0.259751965,-14427.84246,-14422.32497,-14427.84246,2.4941E-299,0.089179423
RNU4-16P,0,0.1,0.1,0.1,0,-421.3607226,-415.8452968,-421.3607226,0.016933658,0.089314881
RILPL2,-0.253467049,0.143524026,0.1,0.1,0,-2807.031953,-2801.517059,-2807.031953,0.00379775,0.089320831
ZNF570,0,0.1,0.1,0.1,0,-1783.323947,-1777.809135,-1783.323947,0.984831725,0.089320831
SLC16A9,-1.938111912,0.319751397,0.1,0.153232905,0.352851841,-5884.929531,-5879.416212,-5884.929531,6.3923E-107,0.089352836
C6orf118,0,0.1,0.1,0.1,0,-2960.496757,-2954.983244,-2960.496757,4.00363E-52,0.089352836
STAU2,-0.152863789,0.536274421,0.529677085,0.336698752,-0.552792238,-11781.97339,-11776.45995,-11781.97339,4.95188E-07,0.089352836
LIG1,-2.396842451,0.626097742,0.1,0.1,0,-2912.108987,-2906.595258,-2912.108987,1.07465E-50,0.089352836
NDUFA11,-0.164082241,1.678541529,1.536284126,1.644080375,0.110926255,-28799.38488,-28793.87313,-28799.38488,0.065211364,0.08945104
ZDHHC12,-0.160383611,0.291491884,0.146075118,0.304755166,0.958827414,-7305.533139,-7300.023867,-7305.533139,0.000350485,0.089618875
CUX2,-2.323094501,0.605606159,0.1,0.1,0,-3586.355313,-3580.847763,-3586.355313,3.0868E-78,0.089729371
ARL10,1.647822788,0.269007915,0.911825594,0.842120436,-0.067226434,-13698.66791,-13693.16305,-13698.66791,1.1483E-126,0.089898691
C1orf116,-2.063537341,0.604095506,0.134263057,0.1,-0.516999774,-3808.945137,-3803.440395,-3808.945137,9.2604E-36,0.089898691
FBXO30,-0.266138544,0.475645293,0.584217296,0.287596714,-0.935384935,-9597.945122,-9592.440602,-9597.945122,0.023296349,0.089898691
LRP3,0,0.1,0.1,0.119408314,0.217434301,-3106.033801,-3100.529938,-3106.033801,0.567616091,0.089908061
SOAT2,0,0.1,0.1,0.133693195,0.026851391,-161.9585895,-156.4545306,-161.9585895,0.017686252,0.089908061
HSBP1L1,0,0.1,0.1,0.1,0,-124.3754503,-118.8719594,-124.3754503,0.970054252,0.089916094
LDOC1,0.601549419,0.949391668,1.021260058,1.454759171,0.485719759,-20134.10377,-20128.6029,-20134.10377,7.82314E-36,0.090065499
CPA1,-0.007537575,0.1,0.1,0.1,0,-3251.628959,-3246.12823,-3251.628959,1.01957E-51,0.090065499
FABP5,-0.088996592,1.019767758,1.04558001,1.068932515,0.056093295,-23090.97735,-23085.47646,-23090.97735,1.37782E-09,0.090065499
TEKT2,0,0.1,0.1,0.1,0,-2013.126441,-2007.626252,-2013.126441,2.78945E-07,0.090086273
CUL4B,0.720858903,0.450495742,0.932047688,0.859110773,-0.144696537,-15077.78605,-15072.28635,-15077.78605,5.2763E-10,0.09010293
USP9Y,0.552355297,0.360177339,0.694011187,0.437598443,-0.643496632,-12393.0186,-12387.51938,-12393.0186,0.000190245,0.090118819
LDLR,-0.112438806,1.358197697,0.846734147,1.038911546,0.287620069,-17131.32743,-17125.82878,-17131.32743,1.4084E-231,0.090142246
FAM98B,-0.259672271,0.832101728,0.88645358,0.684788122,-0.370719363,-21098.23407,-21092.73694,-21098.23407,2.57581E-56,0.09023837
KCND1,1.127824067,0.1,0.222169605,0.218097451,-0.142754924,-2565.030827,-2559.535562,-2565.030827,1.42983E-50,0.090360467
HMGCS2,-2.994217549,0.783769623,0.1,0.1,0,-3956.81919,-3951.324566,-3956.81919,7.4814E-269,0.090368953
MLX,0.993727207,0.401791522,0.590642702,0.747014988,0.349601972,-12594.46295,-12588.96832,-12594.46295,2.73326E-24,0.090368953
MEIOC,0,0.24507525,0.1,0.1,0,-362.8648454,-357.3707942,-362.8648454,0.018218941,0.090392234
CHST11,1.021243782,0.118405227,0.394136374,0.244482812,-0.653569184,-8547.289243,-8541.796024,-8547.289243,7.44009E-30,0.090435557
USPL1,-0.24789124,0.1,0.125723248,0.111552816,-0.182099112,-4266.44904,-4260.957175,-4266.44904,0.279127481,0.090518855
GTF3C1,0.737942435,0.352427799,0.43142637,0.625505687,0.529169317,-11984.37177,-11978.88267,-11984.37177,9.97769E-08,0.090690438
TBC1D23,0.290796519,0.206755143,0.341260708,0.268013907,-0.390127114,-7420.462823,-7414.973577,-7420.462823,0.592012952,0.090690438
EVC2,0,0.1,0.1,0.1,0,-2596.277136,-2590.79025,-2596.277136,0.532730848,0.090757848
TMEM9,0.202745678,1.434504638,1.955996815,1.576735765,-0.332792713,-24407.43203,-24401.94479,-24407.43203,7.42995E-13,0.090757848
BTF3L4,0.195661942,1.867989719,2.596338353,2.267919084,-0.170807519,-34434.53629,-34429.04922,-34434.53629,2.5052E-06,0.090757848
RBM42,0.24293284,0.594161795,0.526342605,0.854237406,0.663579774,-18154.91951,-18149.43261,-18154.91951,4.53924E-09,0.090757848
ANKS4B,1.597102773,0.1,0.214780458,0.342567415,0.688312863,-4065.096769,-4059.608915,-4065.096769,2.3794E-141,0.090757848
HLA-DQA1,0,0.1,0.1,0.1,0,-1077.966759,-1072.480851,-1077.966759,1.25092E-30,0.09081257
EID2,0.653802276,0.365702019,0.645344841,0.785956344,0.270834518,-14101.14989,-14095.6656,-14101.14989,1.26406E-09,0.090916379
ATL3,0.066447079,0.128510318,0.163766503,0.1,-0.736516175,-4252.63563,-4247.152245,-4252.63563,0.002701464,0.090945294
PTPN6,0.922677628,0.172401691,0.209807601,0.432129493,0.989114882,-7962.323036,-7956.839404,-7962.323036,1.63769E-08,0.090945294
TEKT1,0,0.1,0.1,0.1,0,-2141.37707,-2135.894529,-2141.37707,2.22492E-60,0.090989757
MAST4,0.71913974,1.502225549,2.663253332,2.25597955,-0.304979193,-17993.3806,-17987.89966,-17993.3806,3.82052E-82,0.091092548
TNFSF13B,0,0.1,0.1,0.119616815,0.184683458,-2530.779885,-2525.299214,-2530.779885,1.46692E-13,0.091092887
SLC16A1,-1.583672041,0.327495422,0.190630574,0.1,-0.863563961,-6932.834181,-6927.354486,-6932.834181,4.44429E-37,0.09114769
MPP1,1.967994742,0.1,0.263282967,0.426412677,0.743796291,-7562.083488,-7556.606296,-7562.083488,1.4497E-197,0.091320268
FMNL3,0,0.114936218,0.1,0.1,0,-921.9869103,-916.5106354,-921.9869103,2.95979E-14,0.091370655
TMEM255B,0,0.1,0.1,0.1,0,-1279.325303,-1273.849467,-1279.325303,2.76242E-09,0.091384114
HEXIM2,0.057878787,0.1,0.1,0.125769024,0.321122092,-3126.760161,-3121.285797,-3126.760161,1.39647E-07,0.091435141
DKC1,-0.794393981,1.285117552,0.776024936,0.586443164,-0.321682352,-20384.80033,-20379.32552,-20384.80033,4.44812E-14,0.091435141
SUSD2,0.186145399,0.1,0.152879135,0.117842074,-0.313842177,-12900.09086,-12894.61648,-12900.09086,2.4941E-299,0.091435141
SMPDL3B,0.24509259,0.387642468,0.526596657,0.212057973,-1.231393004,-5057.541961,-5052.067845,-5057.541961,3.55705E-34,0.091435141
SLC25A12,0,0.1,0.1,0.1,0,-1519.178035,-1513.704735,-1519.178035,1.88385E-06,0.091477706
ZNF367,0,0.1,0.1,0.1,0,-426.7692917,-421.2968322,-426.7692917,9.84441E-08,0.091522255
SCARNA2,0,0.1,0.1,0.1,0,-485.981391,-480.5107325,-485.981391,0.594798548,0.091641215
EI24,1.050113193,1.96534456,3.73769054,4.507595622,0.263393971,-39562.23089,-39556.76147,-39562.23089,4.4336E-124,0.091716371
PNMT,0,0.1,0.1,0.1,0,-1776.895153,-1771.426787,-1776.895153,9.75766E-22,0.091777874
PGAM2,0,0.1,0.1,0.1,0,-183.2435276,-177.7790106,-183.2435276,0.005976912,0.092056434
MAIP1,0.12715248,0.415473759,0.457170292,0.45697562,0.042833202,-11915.53692,-11910.07443,-11915.53692,0.009365231,0.092166203
DMXL2,1.244349389,0.175776868,0.54552945,0.373126603,-0.537004906,-10005.21801,-9999.7557,-10005.21801,7.16537E-20,0.092166203
EPC2,-0.059669812,0.281710424,0.294076104,0.183098737,-0.668577132,-6892.571645,-6887.108829,-6892.571645,0.842247162,0.092166203
SDSL,-1.095078438,0.378421525,0.104366222,0.211779692,0.869026814,-4342.267424,-4336.807614,-4342.267424,4.5175E-32,0.09234081
NAPSA,0,0.1,0.1,0.1,0,-116.9290983,-111.4696511,-116.9290983,0.353127585,0.092348493
POLE4,-3.10459728,1.581388907,0.1,0.1,0,-2873.898994,-2868.440122,-2873.898994,4.0014E-115,0.092360096
BCAT1,-2.523117982,0.890235887,0.164128811,0.120771991,-0.389612208,-14493.46271,-14488.00394,-14493.46271,3.7153E-124,0.092360096
NDP,0,0.1,0.1,0.1,0,-115.6818997,-110.2243067,-115.6818997,0.503995809,0.092431365
FAM208B,0.258942773,0.242997437,0.378665442,0.18735842,-0.965848127,-6929.783321,-6924.327597,-6929.783321,0.327974526,0.092551176
AGBL4,0,0.1,0.1,0.1,0,-1609.845599,-1604.390067,-1609.845599,0.31425403,0.092551176
FAM212B,1.091970682,0.1,0.149466616,0.27508235,0.794633248,-5091.105805,-5085.650686,-5091.105805,6.98768E-33,0.092562795
USP53,-1.189240835,0.383018019,0.184260677,0.170347637,-0.173302553,-7581.145195,-7575.691786,-7581.145195,8.87014E-19,0.092676031
PDE6B,0,0.1,0.1,0.1,0,-3702.49695,-3697.045498,-3702.49695,8.5333E-16,0.092808653
MRM3,0.125768659,0.10643868,0.1,0.150502564,0.545179556,-4540.335404,-4534.885341,-4540.335404,0.285623749,0.092897017
ARMC3,0,0.1,0.1,0.1,0,-5342.324812,-5336.875341,-5342.324812,1.38589E-76,0.092901996
C2orf27B,0,0.1,0.1,0.101842547,0,-515.8365801,-510.3870002,-515.8365801,0.000955688,0.092901996
NEUROG1,0,0.1,0.1,0.1,0,-513.3381901,-507.8913406,-513.3381901,1.89204E-32,0.093087275
RBM28,-0.457428291,0.238300516,0.293125431,0.133888869,-1.032193655,-7910.64746,-7905.200926,-7910.64746,1.14092E-15,0.093091353
CARD19,1.100344682,0.333191997,0.639243312,0.593038114,-0.049626002,-11328.55767,-11323.11173,-11328.55767,4.45291E-46,0.093116957
SRP14,-0.450741623,12.93626069,9.129491036,9.750665566,0.101302708,-65173.55354,-65168.10832,-65173.55354,2.5083E-149,0.093153709
NOL3,0,0.1,0.1,0.1,0,-753.2159212,-747.7713288,-753.2159212,0.004876977,0.093181903
CWC15,-0.62006315,1.099105957,0.569704594,0.863210313,0.557416983,-19602.01886,-19596.57666,-19602.01886,7.1461E-22,0.093349769
PWRN1,0,0.1,0.1,0.1,0,-297.6634893,-292.2223317,-297.6634893,0.036833384,0.093411097
NIPSNAP1,0.640144177,2.781710978,4.03903981,4.607366086,0.191458414,-43449.35858,-43443.91779,-43449.35858,2.92246E-50,0.093414868
C11orf98,0,0.1,0.1,0.1,0,-1066.586964,-1061.146644,-1066.586964,0.542034845,0.093414868
UPK1A,0.494897452,0.1,0.101867367,0.20482448,0.779653679,-940.6556565,-935.2152182,-940.6556565,6.44819E-19,0.093414868
GPR155,1.292917254,0.1,0.353542007,0.185749816,-0.820022927,-2810.517683,-2805.078321,-2810.517683,1.65418E-43,0.093469644
SPRYD7,1.471258592,0.1,0.219366851,0.301997037,0.481398896,-6209.209194,-6203.771252,-6209.209194,3.79299E-39,0.093561098
GSTA4,2.220910863,0.351657199,1.834568069,2.376192988,0.337198949,-28916.66521,-28911.23066,-28916.66521,1.291E-224,0.093809222
METTL22,0.799621548,0.115339821,0.234543449,0.253485329,0.030173311,-6186.81747,-6181.383364,-6186.81747,0.002144366,0.093822974
TNPO1,0.083489261,1.995868644,2.438561478,1.910865505,-0.335632093,-32557.58672,-32552.15407,-32557.58672,0.154171949,0.093917266
MRPL2,-0.115322171,0.186096719,0.106552904,0.10964413,0.043605625,-3998.583293,-3993.151512,-3998.583293,0.102112865,0.093942698
PAIP1,-0.283958064,1.772676748,1.237906688,1.573795529,0.329696674,-27267.78329,-27262.35174,-27267.78329,0.010177768,0.093942698
PTPRN,5.382270066,0.1,4.245884747,4.047242348,-0.075757616,-22509.44663,-22504.01474,-22509.44663,2.4941E-299,0.093942698
ERAP1,0.765566601,0.136716282,0.382592282,0.18406138,-0.997184163,-6271.685056,-6266.258547,-6271.685056,1.01899E-12,0.094322021
APOBEC4,0,0.1,0.1,0.1,0,-252.7283012,-247.3028545,-252.7283012,0.158774961,0.094385773
