Gene Symbol,"log2 fold-change Start vs. end of PDT trajectory","expression (tpm) at pseudotime 0","expression (tpm) at pseudotime 1","log likelihood of GLM model with pseudotime","log likelihood of GLM model without pseudotime","FDR corrected q-value from likelihood ratio test"
SLC25A19,0,10,10,-506.9885739,-508.7730444,0.421256844
ZNF641,0.496046246,23.28973168,33.89472906,-4728.642574,-4730.426488,0.421406398
EPN2,-0.454314798,27.43915074,19.75055746,-3897.980791,-3899.763825,0.421666289
FAM189B,-0.48992339,14.22454074,10,-2070.491755,-2072.273838,0.421910152
SGO2,0,10,10,-600.6702707,-602.4524136,0.421910152
TP53RK,0,10,10,-1969.045411,-1970.827366,0.421913077
LONP1,0.173478691,32.00412392,36.58478395,-4856.021012,-4857.80258,0.422004541
CPPED1,0.11486913,25.27235633,26.93298017,-3855.712765,-3857.49377,0.422099271
GATA4,-0.044245456,62.2619136,59.94481255,-7212.027399,-7213.808332,0.422099271
RARS,-0.20339431,54.50048084,45.65616104,-7260.940444,-7262.721604,0.422099271
FSIP1,0,10,10,-560.5496254,-562.3292784,0.422496731
FAM215B,0,10,10,-1467.663426,-1469.442046,0.422661034
IRAK2,0,10,10,-660.5265078,-662.3052546,0.422661034
NASP,-0.300614191,54.09388596,43.19228688,-7194.999959,-7196.778916,0.422661034
OVGP1,0,10,10,-821.3999478,-823.1785245,0.422661034
RFTN1,0,10,10,-94.94777369,-96.72636103,0.422661034
MTMR6,0.020360503,64.98388633,67.33601925,-8332.717588,-8334.495902,0.422709918
CCT6B,0,10,10,-574.7424028,-576.5203991,0.422778162
RAB1B,0.052561098,129.612275,136.8161303,-13807.74334,-13809.52101,0.42284981
B4GALT7,0,10,10,-1361.886772,-1363.664223,0.422865208
ZNF853,-0.297831823,67.12366025,54.01321329,-7935.445786,-7937.223171,0.422865208
IL17RA,-0.13165033,11.45429374,10,-1768.510521,-1770.287645,0.42291344
CLMP,0,10,10,-320.6686275,-322.4453154,0.422981569
CLNS1A,0.191040652,58.02425928,66.17937779,-7951.385213,-7953.1619,0.422981569
CAMKK1,-0.001330635,10.04622281,10,-1179.386672,-1181.162397,0.42319166
EIF2B4,-0.043581298,20.24946514,20.16644092,-3634.592543,-3636.368287,0.42319166
TMED1,0.398187016,28.13852436,37.77815365,-5524.417182,-5526.192899,0.42319166
ACTL6B,0.468064998,25.2346791,35.8558809,-4959.871115,-4961.645719,0.423532823
ASB1,-0.126785414,49.42410594,45.66913694,-7079.411781,-7081.185725,0.423718281
U1,0,10,10,-106.8681031,-108.639093,0.424692883
METTL25,-0.081140784,10.54580555,10,-1743.919279,-1745.688252,0.425346099
MRPL22,-0.576154358,32.96613675,21.24174834,-4299.273154,-4301.041716,0.425447112
C5,0,10,10,-334.0054491,-335.7728903,0.425792155
SCRN2,-0.209675232,38.00086856,32.94328288,-5120.165124,-5121.929525,0.426800854
MBD3,-0.349114136,55.03536106,42.54736512,-6756.969967,-6758.733414,0.427089369
RBM45,0,10,10,-1940.541395,-1942.304714,0.427092257
MIXL1,0.165819848,10,11.72764924,-1598.896014,-1600.657856,0.427520414
WASHC2C,0,10,10,-765.092797,-766.8546514,0.427520414
NVL,-0.694251976,24.9144958,14.48968872,-3335.112988,-3336.874691,0.427527442
AP4M1,0.110636687,12.65889544,14.14863804,-2311.006017,-2312.767442,0.427532449
FUT4,0,10,10,-1129.162455,-1130.923786,0.427532449
PCBD1,0.112350378,437.161909,474.6446171,-26070.20399,-26071.96536,0.427532449
C2orf42,0.27951066,10,12.575264,-1938.089444,-1939.850444,0.4276059
GRB2,-0.087528424,146.374816,138.4024509,-14653.80291,-14655.56363,0.427661718
NRG1-IT1,0,10,10,-111.8457323,-113.606296,0.427674247
STX17,0.240731389,27.76640379,32.64253348,-4720.437874,-4722.196295,0.428375521
ISLR2,0,10,10,-131.7361156,-133.4939142,0.428549778
TRPM7,-0.50109268,21.41148382,14.58919853,-3539.102123,-3540.859209,0.428755514
SRA1,0.432813723,26.75931602,36.78600657,-5032.657535,-5034.413707,0.429031606
DPH5,0,10,10,-889.3058093,-891.0618318,0.42904196
HIC1,0,10,10,-705.0343376,-706.7884862,0.429651493
FHOD3,0,10,10,-824.3356849,-826.0885489,0.429932355
GFPT2,0,10,10,-459.3375816,-461.0905798,0.429932355
SERPINF2,-0.08838647,35.23177872,33.56564495,-5509.18454,-5510.937509,0.429932355
TNFRSF11B,0,10,10,-377.5540355,-379.3069397,0.429932355
SLC19A2,0.324896572,10,12.94997911,-2415.453584,-2417.20617,0.429973139
SPATA18,0,10,10,-278.8876676,-280.6401761,0.429973139
C6orf106,0.352883265,13.7862797,17.59614081,-3063.963248,-3065.715201,0.430083413
COPG2,0.575258419,14.8765647,22.7376181,-3346.343065,-3348.095137,0.430083413
AKT1S1,0.05592267,38.69131124,40.36304211,-6569.732083,-6571.483761,0.430106747
C18orf54,0,10,10,-227.1593737,-228.9110215,0.430106747
FAM92B,0,10,10,-837.7739218,-839.5226336,0.43108767
PUS1,-0.188278557,11.85312324,10,-1531.116199,-1532.864696,0.431120878
STOM,0,10,10,-96.37362768,-98.12070977,0.431572901
SARDH,0,10,10,-171.0207221,-172.7671526,0.431751401
TCEAL6,0,10,10,-826.7227929,-828.4691253,0.431751401
NAXD,-0.254529757,72.20836063,59.38297837,-9057.986047,-9059.732154,0.431788426
CASC1,0,10,10,-487.359667,-489.1053112,0.431908462
C16orf45,0.399139047,34.42673784,47.44852281,-5599.013756,-5600.75776,0.432439819
SULT2B1,0,10,10,-131.6619882,-133.4057393,0.432486563
EMC8,-0.33157275,66.39161274,51.73983713,-7546.213686,-7547.957175,0.432536462
ZNF837,0,10,10,-643.5268624,-645.2696077,0.432754924
NADSYN1,0,10,10,-851.2934912,-853.0359787,0.432803455
PCDHGB7,0,10,10,-161.0309837,-162.7730722,0.43284493
TYSND1,0.556602832,15.09815296,23.21314701,-3604.711492,-3606.453695,0.43284493
VAPA,0.089851455,324.9132669,348.1143835,-23185.11281,-23186.85482,0.43284493
ASB8,0.296787239,59.69666214,74.25288425,-8474.989248,-8476.730716,0.43299336
ZNF777,0,10,10,-1656.282999,-1658.023122,0.433422613
TTBK2,-0.220708915,29.72349812,25.51645524,-4767.652216,-4769.392077,0.433472453
UBE2Z,-0.05615007,101.1772487,98.40860734,-11208.10432,-11209.84254,0.43400673
KHK,0,10,10,-1301.118275,-1302.855579,0.434249469
MYDGF,-0.211762115,219.296003,186.7671252,-17756.04015,-17757.77744,0.434249469
MPHOSPH9,-0.499164978,41.36463179,28.22535987,-5268.943927,-5270.680065,0.434611012
STX1B,0,10,10,-347.9908111,-349.7245946,0.435396292
CNPY3,-0.093959411,56.34209474,52.8378847,-8215.196222,-8216.929695,0.435421592
GCLC,-0.241796109,62.76334523,52.81687226,-7312.6791,-7314.412655,0.435421592
MOSPD1,0,10,10,-1624.709535,-1626.442812,0.43544904
PCDHA4,0,10,10,-262.1094898,-263.8426127,0.435461118
GATC,-0.02708607,63.42770048,62.97058392,-8837.191975,-8838.924904,0.4354875
CSNK2B,-0.287263624,88.81705958,71.77542039,-9435.894,-9437.626266,0.435678882
BTN2A2,0,10,10,-151.9128796,-153.6447936,0.43576071
ACTRT3,0,10,10,-310.7970431,-312.5287278,0.435799538
MLX,0.157751052,60.40158723,67.03764807,-8038.937688,-8040.668988,0.435893032
DEPTOR,0,10,10,-1087.607152,-1089.338092,0.435935766
INCA1,0,10,10,-675.426679,-677.1576236,0.435935766
BTC,0,10,10,-307.5608537,-309.2914948,0.435999276
GRIK1,0,10,10,-328.2397234,-329.9698696,0.436089746
LYPD6,0,10,10,-215.2610028,-216.9912521,0.436089746
ENKD1,-0.165535621,14.45081578,13.24731162,-2444.049319,-2445.779277,0.436114202
POLR2K,0.236624185,51.94388074,62.70924409,-7127.708678,-7129.437507,0.436470024
CTH,0,10,10,-923.2907638,-925.0190808,0.436596838
LYRM9,0.066058471,10,11.0737169,-1483.465146,-1485.193377,0.436596838
ERVK3-1,0,10,10,-714.088434,-715.8157976,0.436860488
ANKRD26,-0.159380736,33.80322408,29.57579934,-5614.364321,-5616.091515,0.436878414
ZNF438,0,10,10,-1005.739669,-1007.465709,0.43724363
PRMT3,0,10,10,-901.7732175,-903.4983903,0.437507449
ATP6V1H,0.148474841,93.58470696,103.5224199,-11238.07988,-11239.80386,0.437886013
TAP1,0,10,10,-223.6739052,-225.3977675,0.437886188
PLCD3,0,10,10,-456.351335,-458.0749687,0.437924979
SMIM20,-0.136527236,48.95571339,44.70562792,-6147.369812,-6149.093054,0.438021276
ZBTB43,0.53412531,25.12825966,38.00897937,-4775.020077,-4776.742153,0.438391381
IGSF5,0,10,10,-498.1395034,-499.8614514,0.438394689
CEBPD,0,10,10,-647.0771509,-648.7986678,0.438505098
DNAJB11,0.011233407,64.28168326,66.12963149,-8678.863312,-8680.584592,0.438546583
DIP2C,0.053093429,143.1448663,148.791007,-15121.14306,-15122.86304,0.438922537
KCTD8,0,10,10,-1191.164533,-1192.884544,0.438922537
MRPL42,0.023620285,120.4605618,121.9071082,-12109.7985,-12111.51779,0.439124938
APEX1,0.088840581,137.6910801,149.2196394,-14432.8025,-14434.52143,0.439208404
SCYL1,0.198844202,51.30757556,60.91169139,-7419.310415,-7421.029114,0.439249935
RRP12,-0.245657519,13.34348522,11.33905133,-2237.671856,-2239.389431,0.439606041
PRPH2,0,10,10,-907.5434314,-909.2608519,0.43961872
SART3,-0.307021523,71.26684118,56.70976952,-8000.354701,-8002.071983,0.439625635
TMEM102,0,10,10,-550.460932,-552.1772729,0.439917209
DFNB59,0,10,10,-602.3857229,-604.1015673,0.44005116
LSM4,-0.10048975,124.9055344,117.0360213,-13184.40861,-13186.12427,0.440075128
NUDT1,0,10,10,-583.0401619,-584.7555633,0.440123998
MCCC1,-0.090749557,18.13437104,17.07441884,-3645.708953,-3647.423595,0.440351096
PRELID3B,0.056642575,143.3931203,151.4506465,-13820.98297,-13822.69691,0.440557942
BHLHB9,-0.395995024,19.53099275,14.08636347,-2604.928956,-2606.642585,0.440626462
C11orf70,0,10,10,-876.0461715,-877.7586474,0.440994
ZNF185,0,10,10,-483.3210003,-485.0325611,0.441277049
DUS3L,0,10,10,-1265.801489,-1267.512734,0.441347278
MYBL2,0,10,10,-274.299464,-276.0100659,0.441533561
TRMT1,0,10,10,-766.8118877,-768.5215209,0.441835997
LAMTOR3,0.104884288,99.12323568,106.8975759,-12074.06352,-12075.77288,0.441893087
SERPINB1,-0.23375003,76.02394667,64.33402013,-9020.560269,-9022.269475,0.441903382
CREG2,0,10,10,-316.5413275,-318.2491122,0.442367421
GEMIN4,-0.03274238,10.53757391,10,-1459.005656,-1460.713239,0.442397016
TXNRD2,-0.73805367,17.57320494,10,-2748.056324,-2749.763087,0.442646946
PAFAH2,0,10,10,-1146.492316,-1148.197943,0.443009661
SMARCD3,0.144137556,10.79462177,12.23656268,-1701.645776,-1703.350834,0.443170539
ERCC6L2,-0.144165066,18.78575625,17.04251684,-3531.278211,-3532.982158,0.443524507
AARSD1,0.414672317,10,13.6607593,-2224.329769,-2226.031995,0.444096748
DPYSL5,-0.22542645,92.51710024,78.68079379,-10185.38729,-10187.08935,0.44411419
DHFR,-0.001332908,10.04630193,10,-1559.329709,-1561.031068,0.444236882
SMU1,0.008433638,29.29413194,30.35295085,-4569.426548,-4571.128034,0.444236882
ZG16B,0,10,10,-182.3537424,-184.0551379,0.444236882
HFM1,0,10,10,-1012.982604,-1014.683211,0.444463394
MLLT3,-0.12338176,42.19672831,37.72782073,-6360.098319,-6361.798368,0.444621016
E2F6,0.143168261,10,11.00898849,-2131.760876,-2133.460779,0.444630413
ZNF410,0,10,10,-179.0954435,-180.795069,0.444687369
FEZ2,-0.294295161,67.6792796,54.59116651,-8001.903042,-8003.602416,0.444734856
KNL1,0,10,10,-206.5255978,-208.2242944,0.444934883
RBM11,0,10,10,-698.4112823,-700.1087234,0.44534208
SLC7A14,-0.215171909,32.52480218,26.92225675,-4264.587927,-4266.284462,0.445624283
PCGF1,-0.382176779,25.51541844,19.47535799,-3686.983439,-3688.679506,0.445749621
ZNF429,0,10,10,-220.301381,-221.9967365,0.44596219
VWA1,-0.221576516,97.77288711,82.5761187,-10957.35145,-10959.04647,0.446040253
HEBP1,0.149009358,21.54539493,24.64547535,-3371.322934,-3373.017295,0.446233968
ZEB2,0,10,10,-239.2374161,-240.9314315,0.446315288
ZNHIT6,0.137661358,24.94249067,28.56844559,-4158.492974,-4160.186871,0.446315288
HAUS3,0,10,10,-1619.637615,-1621.331165,0.446397167
CECR3,0,10,10,-174.7594999,-176.4517168,0.44681857
GTPBP1,-0.341188871,39.68301202,31.05765741,-5231.204586,-5232.896725,0.44681857
PTPRM,0.159592845,48.82124058,54.15659797,-6946.504091,-6948.195412,0.447070161
FBXW5,0.005063932,32.33485836,33.31822952,-5278.813036,-5280.504116,0.447114258
AMPD3,-0.302924052,25.82732693,20.24232066,-4279.302468,-4280.99321,0.447193123
MPV17L,0,10,10,-1105.759354,-1107.4495,0.447296495
SLC25A10,0,10,10,-1074.751242,-1076.441222,0.447296495
UVSSA,0,10,10,-101.8609325,-103.5511713,0.447296495
ZSCAN26,0.02325633,10,10.5501215,-1328.695723,-1330.385716,0.447296495
ZNF737,0,10,10,-242.3676335,-244.0566826,0.447588659
ADAT1,0,10,10,-402.1148739,-403.8033288,0.447725048
DIDO1,-0.090276555,59.71826966,56.32051324,-7124.245734,-7125.934167,0.447725048
AGPS,0.213202999,51.75554312,62.08543995,-7442.975201,-7444.662996,0.447826732
SPAG16,0.416574693,36.01300499,49.46457115,-6435.257682,-6436.945538,0.447826732
SPIB,0,10,10,-316.2135591,-317.9014143,0.447826732
ATAD3A,-0.32157302,13.20516614,10,-1875.140388,-1876.826409,0.448423022
C16orf86,-0.077995437,10.41626831,10,-1973.303565,-1974.989166,0.448449481
DTD2,0.028180584,29.3516276,30.87884925,-4405.189547,-4406.875138,0.448449481
EIF1AY,-0.10081178,33.99915857,32.27675303,-5325.309266,-5326.994924,0.448449481
MAN1C1,0.239969445,22.15076755,25.91047612,-3708.287007,-3709.97125,0.448893102
NPM2,0.542137847,10,15.19658264,-2003.78023,-2005.464344,0.448896828
EFCAB7,0,10,10,-1147.925401,-1149.60915,0.448985742
ACAD10,-0.505361416,23.35093316,15.64643542,-3005.753187,-3007.436019,0.449273762
DFFB,-0.000632307,10.0219381,10,-1616.663891,-1618.34611,0.449452436
CRIPAK,0,10,10,-1751.252537,-1752.934618,0.449459329
EFNB2,0,10,10,-477.5449903,-479.2263967,0.449660262
PPP3R1,0.127705009,73.94901579,80.58502475,-9819.751254,-9821.431868,0.449903954
SNORA7,0,10,10,-248.1339442,-249.8136474,0.450190167
CYC1,-0.130136893,101.4610248,92.8377447,-11606.16896,-11607.84838,0.450249723
TCTE3,0,10,10,-570.869526,-572.5488073,0.450257041
PARK7,0.147830118,229.33971,258.9204639,-19508.33166,-19510.01072,0.450295442
MAPKAP1,-0.274611408,42.14912226,33.72571913,-5960.574387,-5962.252985,0.45037576
TRIM38,0,10,10,-300.189512,-301.8681235,0.45037576
CFAP36,0.37088808,26.23804514,34.96473406,-4552.827688,-4554.505737,0.450531415
LCMT2,0,10,10,-1021.583981,-1023.261807,0.450561485
RNF24,-0.089865668,72.31271016,67.38976339,-9546.582442,-9548.26017,0.450561485
ZNF286A,0,10,10,-990.0325193,-991.7098767,0.450653092
DDX28,0,10,10,-1350.453191,-1352.13006,0.45078714
ZNF442,0,10,10,-127.5641485,-129.2408733,0.450796336
APITD1-CORT,0,10,10,-115.4336072,-117.1099313,0.450898518
PARD3,-0.456119187,19.43390889,13.62067223,-3385.236835,-3386.912693,0.451024526
TTC30A,-0.350512708,13.21948084,10,-1825.755001,-1827.430441,0.451132859
ZNF792,0,10,10,-372.8964332,-374.5713141,0.451292565
SPIRE1,-0.190559668,25.75441092,22.75195934,-4042.30332,-4043.977755,0.451411485
PHF1,-0.181935965,24.88813752,22.00915529,-3419.70942,-3421.383429,0.451510929
SRBD1,-0.662571973,25.1871895,15.17722623,-3176.919331,-3178.593255,0.451510929
TRAIP,0,10,10,-101.8331071,-103.5066839,0.451593578
PLAUR,0,10,10,-411.7680249,-413.4412811,0.451666921
IK,0.033073646,51.39743074,53.87008195,-7521.281717,-7522.95416,0.451918597
CACNG4,-0.1802937,39.75534143,35.08859774,-5061.765706,-5063.437645,0.452046202
NSUN2,-0.597981035,26.91928925,16.98876735,-3955.883071,-3957.554926,0.452046202
CYP2C8,0,10,10,-976.9225979,-978.5937349,0.45222057
RFX5,-0.283232226,18.10711378,14.80238452,-3241.724537,-3243.395557,0.45222057
ZNF518B,-0.205835005,46.17701062,40.10120206,-6404.201561,-6405.872719,0.45222057
MRPL2,0,10,10,-1501.097468,-1502.768093,0.452320715
HIPK3,-0.230228156,116.6485847,96.9928743,-11926.35185,-11928.02059,0.452842062
NKRF,0.489430616,14.49947754,20.77329976,-3321.749351,-3323.418068,0.452842062
OGFOD2,0,10,10,-691.3234993,-692.9922921,0.452842062
SH2B2,0,10,10,-737.6143185,-739.2833105,0.452842062
DNAH7,0,10,10,-875.3652027,-877.0337999,0.452842544
ERC2,0,10,10,-1374.805611,-1376.473377,0.45310147
TPR,-0.120516028,124.6981516,112.6691722,-12558.86146,-12560.52905,0.453123807
NDUFA5,-0.145562795,260.1950621,233.1828473,-18958.34965,-18960.01706,0.453145023
CCDC180,0,10,10,-335.2396468,-336.9068657,0.453147954
TMEM19,0.454172572,15.84786427,22.78403266,-3615.458883,-3617.126049,0.453147954
ADIPOR2,-0.301866259,64.26430048,51.54897629,-7950.202776,-7951.867863,0.453861013
ACVR1,-0.259745503,63.95559152,53.11273251,-7897.556787,-7899.221525,0.4539348
CSNK2A3,0,10,10,-1321.112449,-1322.777097,0.4539348
RNU4-16P,0,10,10,-274.0936137,-275.7579467,0.453963357
SDC1,0,10,10,-276.0394306,-277.7037744,0.453963357
POLR2E,0.14515457,73.99266865,84.12104089,-9425.657184,-9427.320132,0.454424874
LRR1,0,10,10,-622.4093177,-624.0719351,0.454502086
LGI3,0,10,10,-1378.022489,-1379.684543,0.454664436
ALKBH2,0,10,10,-1185.261623,-1186.923252,0.454716791
C1QTNF1,0,10,10,-537.7109211,-539.3724767,0.454716791
LZIC,0.118371926,19.28913648,20.50893292,-3640.769881,-3642.431579,0.454716791
CDV3,-0.048317599,176.7211069,172.1459052,-15881.94407,-15883.6055,0.454718239
BACH1,0.147508082,37.15716746,42.45810398,-6080.397885,-6082.058989,0.454795108
SMO,0,10,10,-482.2753656,-483.9355546,0.455055681
ZNF17,0,10,10,-253.1821036,-254.8422573,0.455055681
CAV2,0,10,10,-395.4312343,-397.0906147,0.45520851
SEC61A1,-0.016141976,77.43660795,75.12693752,-9684.236418,-9685.895805,0.45520851
TMPRSS2,0,10,10,-154.2797384,-155.9392348,0.45520851
TTI2,-0.539061509,14.99567145,10,-2209.547156,-2211.206409,0.455212035
ARNT,-0.354624187,30.56833934,23.75524306,-4542.248618,-4543.907704,0.455230066
RBSN,-0.043982751,20.8706305,20.71617115,-3044.931002,-3046.58978,0.455299088
PRDM1,0,10,10,-261.7710952,-263.4295794,0.455363153
SOGA3,-0.551863906,26.25163839,17.13112664,-3330.276674,-3331.934114,0.4557013
CCDC93,-0.364997644,13.22263412,10,-2514.626412,-2516.283508,0.455783705
ARMCX6,0.100153892,54.82529283,58.87449827,-8291.454608,-8293.110503,0.456104193
CTC1,-0.256585613,16.3729418,13.89389997,-2511.60977,-2513.265666,0.456104193
TRPC4,0,10,10,-174.4501627,-176.1060274,0.456104193
DNAL1,-0.546268305,26.23228441,17.38101119,-3354.591517,-3356.245751,0.456614326
FLJ38576,0,10,10,-126.4623066,-128.11661,0.456614326
ECE2,0.12207379,10.80472143,12.19832714,-2263.68599,-2265.338644,0.457148803
DHRS13,-0.281802503,21.14571583,17.32391515,-2971.618252,-2973.270204,0.457362921
ACBD3,0.054863138,86.8395155,89.15745834,-10396.70943,-10398.3608,0.457532636
EEF1D,0.157176531,67.9736648,77.01198183,-8627.220517,-8628.871699,0.457558852
GRK3,-0.195036142,57.20338372,49.1266444,-7724.876906,-7726.527392,0.457770304
DNAJC6,0.220450655,28.5477853,34.59481357,-5003.141256,-5004.790804,0.458031718
SEC14L6,0,10,10,-216.5542042,-218.2037413,0.458031718
LSM1,-0.247510599,49.71958859,41.83473399,-6527.14089,-6528.789366,0.458377689
C7orf43,0,10,10,-1013.850049,-1015.49827,0.458378022
DDX58,0,10,10,-647.4863105,-649.1345705,0.458378022
NUDT7,0,10,10,-650.7466254,-652.3947464,0.458378022
SETMAR,0,10,10,-153.1687755,-154.8165621,0.45845749
DCUN1D1,-0.168049528,63.0208566,54.77785115,-8067.22405,-8068.871717,0.458458015
LGALS8,-0.328495376,47.09171214,36.89250955,-5742.651887,-5744.299404,0.458469707
GPR162,-0.335092056,12.69803648,10,-2105.071038,-2106.718162,0.458484418
ILF2,0.100969824,273.5955666,296.0360677,-21454.44858,-21456.09584,0.458484418
ZNF793,0.434384554,10.16666429,13.84036481,-2493.946678,-2495.593912,0.458484418
CELA3A,0,10,10,-179.391794,-181.0383169,0.458585118
CRK,-0.255527492,31.71661388,26.33665314,-4086.956397,-4088.603048,0.458585118
EFR3B,0,10,10,-1499.277083,-1500.923538,0.458585118
UBE2S,0.198536823,55.7051751,65.55815864,-8446.569894,-8448.216271,0.458585118
BLOC1S4,-0.103845188,19.33763213,17.80104073,-2677.983069,-2679.628878,0.458750454
CHMP3,0.15158078,191.886977,214.1013079,-17475.02896,-17476.67424,0.458899308
ZNF354A,0,10,10,-1473.964372,-1475.609238,0.459010278
KPNA4,0.1266476,56.89956049,63.64283771,-8300.757451,-8302.401779,0.459034461
SLC1A6,0,10,10,-506.023062,-507.6676367,0.459034461
TRAPPC4,0.113793954,102.4895956,113.2271488,-11709.07467,-11710.71909,0.459034461
ZNF726,0,10,10,-498.9954294,-500.6398498,0.459034461
ZGPAT,-0.277921503,12.47074711,10,-1840.286337,-1841.928811,0.459672885
APOBEC3G,0,10,10,-1232.35156,-1233.992633,0.460144643
FAM20C,0.051629924,53.2177544,55.82848755,-6964.299788,-6965.940483,0.460153954
LEAP2,0,10,10,-208.4292869,-210.0701325,0.460153954
PUS7,-0.49877937,14.21143273,10,-2538.640732,-2540.281533,0.460153954
CERS4,-0.418229576,45.33099909,32.86988765,-5728.382459,-5730.022967,0.460179002
CTTNBP2,0.05936113,10,10.66036176,-1651.510784,-1653.151068,0.460218211
PPA2,0.331089983,36.3809421,47.68710131,-5992.595684,-5994.235804,0.460235238
GPS1,0.285762902,31.0751771,38.67800813,-5849.072811,-5850.712721,0.460269136
SLC31A2,-0.237385704,11.99741229,10,-1747.744596,-1749.384296,0.460303336
PDE7B,0,10,10,-95.89430456,-97.53293854,0.46065248
EDA2R,0,10,10,-485.1711596,-486.8090367,0.460887982
RCHY1,0.055121995,55.80345705,58.95992559,-7172.339879,-7173.977202,0.461048923
MICU1,-0.27178872,64.20325827,52.26264189,-7252.949577,-7254.586594,0.461117999
SLC25A26,-0.668024833,23.01524874,13.730545,-2867.646344,-2869.282189,0.461507261
VARS2,-0.206362661,11.45679148,10,-2107.637702,-2109.273129,0.461617896
MOV10,-0.367685593,17.98486744,13.61637808,-3426.126128,-3427.76131,0.461664829
CTIF,0.550978506,12.49960594,19.46568238,-3022.73966,-3024.373515,0.46211129
NFIL3,0,10,10,-688.1055999,-689.7390089,0.462232544
CHPF,-0.279997178,97.72480559,78.57178766,-10892.79352,-10894.42668,0.462279533
HOOK2,0.312655293,35.94694976,46.35307089,-6438.49953,-6440.132242,0.462359552
ZDHHC11B,0,10,10,-621.4486139,-623.0813461,0.462359552
MCM6,0,10,10,-946.1368127,-947.768831,0.462572402
SNORD104,0,10,10,-119.1776067,-120.8091984,0.462686624
NEK7,0.002738419,20.50599147,20.25618248,-3989.228188,-3990.858121,0.463256762
